District,AIC,ADF_pval,N_obs,Trend_m_yr,RMSE,Stationary
Ariyalur,54.32,0.0812,15,-0.1607,1.973,False
Chengalpattu,42.26,0.5684,15,-0.1909,1.7304,False
Chennai,7.72,0.295,15,-0.1586,1.1271,False
Coimbatore,66.39,0.0,15,-0.0314,3.1618,True
Cuddalore,46.88,0.7187,15,-0.1687,1.7576,False
Dharmapuri,69.28,0.3439,15,-0.21,2.9118,False
Dindigul,63.91,0.8432,15,-0.2404,2.6676,False
Erode,63.8,0.3551,15,-0.1821,2.4519,False
Kallakurichi,61.59,0.8756,15,-0.577,3.6367,False
Kanchipuram,55.03,0.4447,15,-0.0146,1.7867,False
Kanniyakumari,60.71,0.0075,15,-0.0912,2.1534,True
Karur,58.02,0.9953,15,-0.3237,2.4132,False
Krishnagiri,63.61,0.1349,15,-0.2292,2.5184,False
Madurai,56.32,0.2614,15,-0.1101,1.8393,False
Mayiladuthurai,27.14,0.748,15,0.1007,0.6538,False
Nagapattinam,35.68,0.1734,15,-0.0232,1.1191,False
Namakkal,67.62,0.5877,15,-0.3436,3.1957,False
Perambalur,78.26,0.0236,15,-0.0888,3.4657,True
Pudukkottai,52.02,0.0433,15,-0.048,1.8165,True
Ramanathapuram,32.47,0.7052,15,-0.0619,1.1005,False
Ranipet,35.89,0.9202,15,-0.2838,2.1831,False
Salem,65.39,0.6854,15,-0.3786,2.9836,False
Sivaganga,60.86,0.5744,15,-0.1601,2.1246,False
Thanjavur,40.56,0.3354,15,-0.1294,1.3165,False
The nilgiris,21.97,0.0469,15,-0.035,0.7952,True
Theni,70.16,0.1369,15,-0.3583,3.004,False
Thenkasi,53.94,0.7123,15,-0.3046,2.6218,False
Thiruvallur,48.42,0.1439,15,-0.0355,1.6296,False
Thiruvarur,43.75,0.0,15,0.0386,1.2524,True
Thoothukudi,57.47,0.1307,15,-0.1101,1.7991,False
Tiruchirappalli,67.38,0.5362,15,-0.2441,2.8538,False
Tirunelveli,63.32,0.0028,15,-0.1113,2.4686,True
Tirupathur,52.21,0.0,15,-0.3759,2.8378,True
Tiruppur,68.24,0.4984,15,-0.2141,2.994,False
Tiruvannamalai,68.12,0.5697,15,-0.1579,2.5971,False
Vellore,62.79,0.3353,15,-0.2142,2.4441,False
Villupuram,60.73,0.5009,15,-0.1594,1.9682,False
Virudhunagar,63.32,0.5897,15,-0.2281,2.4305,False
