District,Attn_Rice,Attn_Groundnut,Attn_Maize,Attn_Jowar,Attn_Bajra
Ariyalur,1.0,1.0,1.0,1.0,1.0
Chengalpattu,1.0,1.0,1.0,1.0,1.0
Chennai,1.0,1.0,1.0,1.0,1.0
Coimbatore,1.0,1.0,1.0,1.0,1.0
Cuddalore,1.0,1.0,1.0,1.0,1.0
Dharmapuri,1.0,1.0,1.0,1.0,1.0
Dindigul,1.0,1.0,1.0,1.0,1.0
Erode,1.0,1.0,1.0,1.0,1.0
Kallakurichi,1.0,1.0,1.0,1.0,1.0
Kanchipuram,1.0,1.0,1.0,1.0,1.0
Kanniyakumari,1.0,1.0,1.0,1.0,1.0
Karur,1.0,1.0,1.0,1.0,1.0
Krishnagiri,1.0,1.0,1.0,1.0,1.0
Madurai,1.0,1.0,1.0,1.0,1.0
Mayiladuthurai,1.0,1.0,1.0,1.0,1.0
Nagapattinam,1.0,1.0,1.0,1.0,1.0
Namakkal,1.0,1.0,1.0,1.0,1.0
Perambalur,1.0,1.0,1.0,1.0,1.0
Pudukkottai,1.0,1.0,1.0,1.0,1.0
Ramanathapuram,1.0,1.0,1.0,1.0,1.0
Ranipet,1.0,1.0,1.0,1.0,1.0
Salem,1.0,1.0,1.0,1.0,1.0
Sivaganga,1.0,1.0,1.0,1.0,1.0
Thanjavur,1.0,1.0,1.0,1.0,1.0
The nilgiris,1.0,1.0,1.0,1.0,1.0
Theni,1.0,1.0,1.0,1.0,1.0
Thenkasi,1.0,1.0,1.0,1.0,1.0
Thiruvallur,1.0,1.0,1.0,1.0,1.0
Thiruvarur,1.0,1.0,1.0,1.0,1.0
Thoothukudi,1.0,1.0,1.0,1.0,1.0
Tiruchirappalli,1.0,1.0,1.0,1.0,1.0
Tirunelveli,1.0,1.0,1.0,1.0,1.0
Tirupathur,1.0,1.0,1.0,1.0,1.0
Tiruppur,1.0,1.0,1.0,1.0,1.0
Tiruvannamalai,1.0,1.0,1.0,1.0,1.0
Vellore,1.0,1.0,1.0,1.0,1.0
Villupuram,1.0,1.0,1.0,1.0,1.0
Virudhunagar,1.0,1.0,1.0,1.0,1.0
