District,Recommended_Crop,Feasibility_Score,Feasibility_Label,Potential_Water_Saving_pct,Current_Water_Req_Lkg,Recommended_Water_Req_Lkg,GW_Dep_Ratio,Canal_Dep_Ratio
Ariyalur,Bajra,48.7,Medium,84.0,2500,400,0.919897092616645,0.05062943350984114
Chengalpattu,Bajra,45.4,Medium,84.0,2500,400,0.47723980645360126,0.0034209634172650783
Chennai,Bajra,46.9,Medium,84.0,2500,400,0.7852112676056338,0.0
Coimbatore,Groundnut,56.1,Medium,0.0,700,1000,0.8717845219775138,0.12777819823910794
Cuddalore,Bajra,50.8,Medium,84.0,2500,400,0.6714114806828521,0.3107936758100451
Dharmapuri,Bajra,42.2,Low,42.9,700,400,1.0,0.0
Dindigul,Bajra,42.2,Low,42.9,700,400,0.887579656126007,0.05212215943248768
Erode,Groundnut,66.1,Medium,60.0,2500,1000,0.5920192258700046,0.4079807741299954
Kallakurichi,Bajra,58.7,Medium,84.0,2500,400,0.8536794759336331,0.0027994998226983448
Kanchipuram,Bajra,52.9,Medium,84.0,2500,400,0.36490402476780187,0.0007430340557275541
Kanniyakumari,Bajra,48.8,Medium,84.0,2500,400,0.2512003939754586,0.3257684573398449
Karur,Groundnut,33.5,Low,0.0,700,1000,0.8969140792163949,0.10308592078360515
Krishnagiri,Jowar,56.8,Medium,72.0,2500,700,0.8838969859912268,0.008009056176595444
Madurai,Bajra,49.9,Medium,84.0,2500,400,0.6561978789690657,0.14773263681278911
Mayiladuthurai,Bajra,28.6,Low,84.0,2500,400,0.0,1.0
Nagapattinam,Bajra,33.7,Low,84.0,2500,400,0.0,0.977247458703939
Namakkal,Groundnut,53.6,Medium,0.0,700,1000,0.9045847121339027,0.07308901673783795
Perambalur,Bajra,46.0,Medium,66.7,1200,400,1.0,0.0
Pudukkottai,Jowar,45.7,Medium,72.0,2500,700,0.5337154530566764,0.007723995880535531
Ramanathapuram,Maize,39.6,Low,52.0,2500,1200,0.1793598401114375,0.0
Ranipet,Bajra,48.5,Medium,84.0,2500,400,0.9482203129794415,0.0
Salem,Groundnut,40.5,Low,0.0,700,1000,0.9932239297844436,0.006776070215556378
Sivaganga,Groundnut,43.5,Low,60.0,2500,1000,0.28675754625121713,9.466623390674024e-05
Thanjavur,Bajra,31.1,Low,84.0,2500,400,0.3644808834415928,0.6355191165584072
The nilgiris,Bajra,45.5,Medium,84.0,2500,400,0.9857308137292711,0.0
Theni,Bajra,57.6,Medium,84.0,2500,400,0.7688032898810753,0.17402073641256888
Thenkasi,Bajra,49.2,Medium,84.0,2500,400,0.5560810608555093,0.07513395396174455
Thiruvallur,Jowar,46.5,Medium,72.0,2500,700,0.8872451299269052,0.00016321010970050945
Thiruvarur,Jowar,39.5,Low,72.0,2500,700,0.0,1.0
Thoothukudi,Groundnut,32.0,Low,16.7,1200,1000,0.512035243226029,0.25408030572437035
Tiruchirappalli,Bajra,51.0,Medium,84.0,2500,400,0.745566833802128,0.21912070441482207
Tirunelveli,Jowar,45.4,Medium,72.0,2500,700,0.4650698958240584,0.18436470483483217
Tirupathur,Bajra,46.0,Medium,60.0,1000,400,1.0,0.0
Tiruppur,Bajra,45.0,Medium,42.9,700,400,0.7661290322580645,0.22502187754609373
Tiruvannamalai,Jowar,45.5,Medium,72.0,2500,700,0.9436353857997026,0.0
Vellore,Bajra,43.9,Low,60.0,1000,400,0.9996809044080777,4.558508456033186e-05
Villupuram,Groundnut,57.7,Medium,60.0,2500,1000,0.848919242304166,0.006759591627429957
Virudhunagar,Bajra,50.2,Medium,66.7,1200,400,0.5491770090661033,0.0
