District,w_crop_attn,w_lstm,w_arima,dominant_stream
Ariyalur,0.13229911,0.22833933,0.63936156,w_arima
Chengalpattu,0.15320612,0.22765434,0.6191395,w_arima
Chennai,0.17716281,0.18166149,0.64117575,w_arima
Coimbatore,0.15212582,0.19029367,0.6575805,w_arima
Cuddalore,0.15111063,0.21061997,0.63826936,w_arima
Dharmapuri,0.13914035,0.21655701,0.64430267,w_arima
Dindigul,0.13029763,0.23545213,0.63425016,w_arima
Erode,0.1273446,0.22592758,0.64672786,w_arima
Kallakurichi,0.1256661,0.19664592,0.6776879,w_arima
Kanchipuram,0.14402214,0.19003953,0.6659383,w_arima
Kanniyakumari,0.16169004,0.17947647,0.6588335,w_arima
Karur,0.12802328,0.22902834,0.6429484,w_arima
Krishnagiri,0.12922595,0.23094516,0.63982886,w_arima
Madurai,0.15746541,0.21362354,0.628911,w_arima
Mayiladuthurai,0.14793599,0.19192457,0.6601394,w_arima
Nagapattinam,0.16196139,0.19464919,0.64338946,w_arima
Namakkal,0.1482944,0.228783,0.62292266,w_arima
Perambalur,0.11787193,0.23516881,0.64695925,w_arima
Pudukkottai,0.14172143,0.206749,0.6515296,w_arima
Ramanathapuram,0.1604638,0.19275612,0.64678013,w_arima
Ranipet,0.13202676,0.18763638,0.68033695,w_arima
Salem,0.113326155,0.22666097,0.6600129,w_arima
Sivaganga,0.15290841,0.20596799,0.64112353,w_arima
Thanjavur,0.15367147,0.1760635,0.670265,w_arima
The nilgiris,0.16038847,0.17040436,0.66920716,w_arima
Theni,0.15172288,0.2396638,0.6086134,w_arima
Thenkasi,0.13898899,0.20484443,0.65616655,w_arima
Thiruvallur,0.14800714,0.16770975,0.684283,w_arima
Thiruvarur,0.15400515,0.1832541,0.6627407,w_arima
Thoothukudi,0.102286376,0.20346323,0.69425046,w_arima
Tiruchirappalli,0.14421354,0.20544462,0.65034187,w_arima
Tirunelveli,0.18138532,0.18787095,0.6307437,w_arima
Tirupathur,0.13501325,0.25674367,0.6082431,w_arima
Tiruppur,0.123586275,0.22683798,0.6495757,w_arima
Tiruvannamalai,0.1222079,0.21438241,0.66340977,w_arima
Vellore,0.08952515,0.25809452,0.65238035,w_arima
Villupuram,0.13404891,0.20873676,0.65721434,w_arima
Virudhunagar,0.123563,0.2145319,0.6619051,w_arima
