District,Canal_Net_ha,Tank_Net_ha,TubeWell_BoreWell_Net_ha,OpenWell_Net_ha,Supplementary_Net_ha,OtherSources_Net_ha,Total_Net_Irrigated_ha
Chennai,0,61,222,1,0,0,284
Kancheepuram,30,25612,6867,7866,0,0,40375
Chengalpattu,222,33702,4643,26327,0,0,64894
Tiruvallur,14,9658,66444,9663,0,0,85779
Cuddalore,43384,2484,84980,8743,0,0,139591
Villupuram,870,18575,35214,74047,0,0,128706
Kallakurichi,300,14886,4327,87155,0,494,107162
Vellore,1,6,2134,19796,0,0,21937
Ranipet,0,2025,8476,28607,7,0,39108
Tirupathur,0,0,4499,24117,0,0,28616
Tiruvannamalai,0,10690,2333,176635,0,0,189658
Salem,806,0,13340,104802,0,0,118948
Namakkal,5323,0,12156,53724,0,1626,72829
Dharmapuri,0,0,0,57512,0,0,57512
Krishnagiri,566,7639,27353,35112,0,0,70670
Coimbatore,15195,0,37607,66063,1185,52,118917
Tiruppur,29828,1173,16121,85434,0,0,132556
Erode,48043,0,15787,53928,0,0,117758
Tiruchirapalli,14334,2310,9673,39099,0,0,65416
Karur,4336,0,15028,22698,0,0,42062
Perambalur,0,0,2666,22572,0,0,25238
Ariyalur,2027,1180,34382,2447,0,0,40036
Pudukkottai,915,54293,49128,14097,0,29,118462
Thanjavur,114178,0,65483,0,28709,0,179661
Tiruvarur,147167,0,0,0,31868,0,147167
Nagapattinam,49222,0,0,0,9697,1146,50368
Mayiladuthurai,67969,0,0,0,39809,0,67969
Madurai,9389,12461,2504,39200,0,0,63554
Theni,10960,3601,16669,31751,0,0,62981
Dindigul,5202,4543,18081,70503,694,1475,99804
Ramanathapuram,0,54200,1068,10778,0,0,66046
Virudhunagar,0,25609,505,30691,1771,0,56805
Sivagangai,7,52733,7595,13609,0,0,73944
Tirunelveli,10353,19686,1637,24479,0,0,56155
Tenkasi,5020,24640,529,36625,1698,0,66814
Thoothukudi,9574,8813,1576,17718,0,0,37681
The Nilgiris,0,0,0,5112,74,74,5186
Kanniyakumari,7938,10308,2969,3152,0,0,24367
