District,SW_Monsoon_Actual_mm,SW_Monsoon_Normal_mm,NE_Monsoon_Actual_mm,NE_Monsoon_Normal_mm,Annual_Actual_mm,Annual_Normal_mm
Chennai,778.7,448.5,1088.9,809.6,1950.9,1346.2
Kancheepuram,807.1,472.0,703.6,591.7,1716.7,1155.1
Chengalpattu,619.8,398.3,747.1,707.7,1600.5,1186.7
Tiruvallur,736.3,463.7,754.5,623.9,1665.2,1182.1
Cuddalore,376.3,355.7,537.6,701.5,1247.8,1178.6
Villupuram,556.1,395.0,353.5,531.3,1177.2,1012.6
Kallakurichi,384.4,399.1,206.8,455.5,820.4,956.7
Vellore,573.6,431.3,286.7,375.8,1100.2,925.5
Ranipet,582.8,441.7,351.3,406.0,1208.4,944.7
Tirupathur,487.2,425.7,141.7,266.3,817.7,817.6
Tiruvannamalai,628.0,450.5,276.5,450.4,1203.4,1019.7
Salem,379.6,406.4,229.3,331.7,837.5,912.5
Namakkal,298.8,331.8,230.5,270.4,731.8,758.5
Dharmapuri,361.2,380.8,182.8,314.2,803.5,876.4
Krishnagiri,368.5,356.2,139.0,278.7,734.4,795.6
Coimbatore,588.1,689.1,500.8,337.6,1510.2,1205.8
Tiruppur,73.6,155.9,329.8,305.7,603.7,599.5
Erode,217.4,267.6,396.1,307.1,849.5,732.5
Tiruchirapalli,270.2,276.3,202.6,379.4,641.2,774.9
Karur,227.3,201.6,181.4,313.2,549.6,636.2
Perambalur,297.4,277.8,232.5,432.0,752.4,816.0
Ariyalur,254.5,314.8,284.2,501.9,756.9,925.8
Pudukkottai,298.6,294.8,308.9,385.6,795.3,787.7
Thanjavur,322.4,302.8,345.5,579.4,915.8,1017.3
Tiruvarur,229.1,297.2,597.9,725.4,1131.3,1172.2
Nagapattinam,157.7,246.6,969.0,935.3,1480.3,1336.9
Mayiladuthurai,196.5,304.7,752.5,888.1,1216.3,1332.2
Madurai,306.8,296.1,475.5,370.0,993.9,827.4
Theni,253.0,237.9,537.6,364.3,1094.5,802.7
Dindigul,372.7,301.5,416.3,460.0,1171.8,956.5
Ramanathapuram,93.0,132.1,667.6,531.4,975.7,817.8
Virudhunagar,240.2,196.4,660.0,398.5,1242.7,773.9
Sivagangai,335.3,316.7,440.2,422.7,987.0,895.9
Tirunelveli,208.9,92.5,1329.6,514.9,1872.2,795.8
Tenkasi,172.6,172.7,821.4,465.7,1280.3,872.5
Thoothukudi,56.4,67.3,594.7,402.9,801.1,612.2
The Nilgiris,773.0,842.4,502.5,501.3,1608.7,1595.7
Kanniyakumari,330.4,494.7,1050.9,532.6,1635.9,1338.3
